Membership No  Date Joined  Active  
    49690      2018-9-1     no    
    83117      2015-2-4     no    
    94287      2018-3-9     no    
    24257      2019-8-23    no    
    91169      2015-5-7     no    
    40965      2016-6-12    no    
    18775      2016-4-5     no    
    59044      2017-5-12    no    
    73412      2017-9-11    no    
    73291      2015-8-12    no    
    54044      2015-2-15    no    
    30614      2015-7-11    no    
    41327      2020-7-8     no    
    99866      2016-8-14    no    
